,forecast_load_mw
2024-01-01 00:00:00,27032.0
2024-01-01 01:00:00,26262.0
2024-01-01 02:00:00,25874.0
2024-01-01 03:00:00,25731.0
2024-01-01 04:00:00,25827.0
2024-01-01 05:00:00,26384.0
2024-01-01 06:00:00,27248.0
2024-01-01 07:00:00,28041.0
2024-01-01 08:00:00,28474.0
2024-01-01 09:00:00,28672.0
2024-01-01 10:00:00,28614.0
2024-01-01 11:00:00,28664.0
2024-01-01 12:00:00,28720.0
2024-01-01 13:00:00,28760.0
2024-01-01 14:00:00,29048.0
2024-01-01 15:00:00,29776.0
2024-01-01 16:00:00,31498.0
2024-01-01 17:00:00,33204.0
2024-01-01 18:00:00,33212.0
2024-01-01 19:00:00,32943.0
2024-01-01 20:00:00,32674.0
2024-01-01 21:00:00,31846.0
2024-01-01 22:00:00,30435.0
2024-01-01 23:00:00,28914.0
2024-01-02 00:00:00,28288.0
2024-01-02 01:00:00,27812.0
2024-01-02 02:00:00,27617.0
2024-01-02 03:00:00,27777.0
2024-01-02 04:00:00,28373.0
2024-01-02 05:00:00,30225.0
2024-01-02 06:00:00,32783.0
2024-01-02 07:00:00,34597.0
2024-01-02 08:00:00,34428.0
2024-01-02 09:00:00,33258.0
2024-01-02 10:00:00,32232.0
2024-01-02 11:00:00,31426.0
2024-01-02 12:00:00,30967.0
2024-01-02 13:00:00,30724.0
2024-01-02 14:00:00,30902.0
2024-01-02 15:00:00,31659.0
2024-01-02 16:00:00,33412.0
2024-01-02 17:00:00,35866.0
2024-01-02 18:00:00,36254.0
2024-01-02 19:00:00,36008.0
2024-01-02 20:00:00,35511.0
2024-01-02 21:00:00,34520.0
2024-01-02 22:00:00,32750.0
2024-01-02 23:00:00,31090.0
2024-01-03 00:00:00,29236.0
2024-01-03 01:00:00,28692.0
2024-01-03 02:00:00,28420.0
2024-01-03 03:00:00,28556.0
2024-01-03 04:00:00,29451.0
2024-01-03 05:00:00,31125.0
2024-01-03 06:00:00,34006.0
2024-01-03 07:00:00,35578.0
2024-01-03 08:00:00,35169.0
2024-01-03 09:00:00,33801.0
2024-01-03 10:00:00,32645.0
2024-01-03 11:00:00,31813.0
2024-01-03 12:00:00,31390.0
2024-01-03 13:00:00,31266.0
2024-01-03 14:00:00,31410.0
2024-01-03 15:00:00,32121.0
2024-01-03 16:00:00,33550.0
2024-01-03 17:00:00,35815.0
2024-01-03 18:00:00,36132.0
2024-01-03 19:00:00,35776.0
2024-01-03 20:00:00,35116.0
2024-01-03 21:00:00,33973.0
2024-01-03 22:00:00,32084.0
2024-01-03 23:00:00,30371.0
2024-01-04 00:00:00,29457.0
2024-01-04 01:00:00,28685.0
2024-01-04 02:00:00,28352.0
2024-01-04 03:00:00,28465.0
2024-01-04 04:00:00,29152.0
2024-01-04 05:00:00,31165.0
2024-01-04 06:00:00,33920.0
2024-01-04 07:00:00,35684.0
2024-01-04 08:00:00,35332.0
2024-01-04 09:00:00,34304.0
