forecast_hour_beginning_utc,evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_ept,forecast_area,forecast_load_mw
2024-01-01 05:00:00,12/31/2023 10:45:00 AM,12/31/2023 5:45:00 AM,1/1/2024 12:00:00 AM,MIDATL,27088
2024-01-01 05:00:00,12/31/2023 2:45:00 PM,12/31/2023 9:45:00 AM,1/1/2024 12:00:00 AM,MIDATL,27193
2024-01-01 05:00:00,12/31/2023 4:45:00 PM,12/31/2023 11:45:00 AM,1/1/2024 12:00:00 AM,MIDATL,27048
2024-01-01 05:00:00,12/31/2023 10:45:00 PM,12/31/2023 5:45:00 PM,1/1/2024 12:00:00 AM,MIDATL,27027
2024-01-01 05:00:00,1/1/2024 4:45:00 AM,12/31/2023 11:45:00 PM,1/1/2024 12:00:00 AM,MIDATL,26806
2024-01-01 06:00:00,12/31/2023 10:45:00 AM,12/31/2023 5:45:00 AM,1/1/2024 1:00:00 AM,MIDATL,26271
2024-01-01 06:00:00,12/31/2023 2:45:00 PM,12/31/2023 9:45:00 AM,1/1/2024 1:00:00 AM,MIDATL,26354
2024-01-01 06:00:00,12/31/2023 4:45:00 PM,12/31/2023 11:45:00 AM,1/1/2024 1:00:00 AM,MIDATL,26242
2024-01-01 06:00:00,12/31/2023 10:45:00 PM,12/31/2023 5:45:00 PM,1/1/2024 1:00:00 AM,MIDATL,26222
2024-01-01 06:00:00,1/1/2024 4:45:00 AM,12/31/2023 11:45:00 PM,1/1/2024 1:00:00 AM,MIDATL,26222
2024-01-01 07:00:00,12/31/2023 10:45:00 AM,12/31/2023 5:45:00 AM,1/1/2024 2:00:00 AM,MIDATL,25863
2024-01-01 07:00:00,12/31/2023 2:45:00 PM,12/31/2023 9:45:00 AM,1/1/2024 2:00:00 AM,MIDATL,25928
2024-01-01 07:00:00,12/31/2023 4:45:00 PM,12/31/2023 11:45:00 AM,1/1/2024 2:00:00 AM,MIDATL,25830
2024-01-01 07:00:00,12/31/2023 10:45:00 PM,12/31/2023 5:45:00 PM,1/1/2024 2:00:00 AM,MIDATL,25810
2024-01-01 07:00:00,1/1/2024 4:45:00 AM,12/31/2023 11:45:00 PM,1/1/2024 2:00:00 AM,MIDATL,25939
2024-01-01 08:00:00,12/31/2023 10:45:00 AM,12/31/2023 5:45:00 AM,1/1/2024 3:00:00 AM,MIDATL,25711
2024-01-01 08:00:00,12/31/2023 2:45:00 PM,12/31/2023 9:45:00 AM,1/1/2024 3:00:00 AM,MIDATL,25760
2024-01-01 08:00:00,12/31/2023 4:45:00 PM,12/31/2023 11:45:00 AM,1/1/2024 3:00:00 AM,MIDATL,25679
2024-01-01 08:00:00,12/31/2023 10:45:00 PM,12/31/2023 5:45:00 PM,1/1/2024 3:00:00 AM,MIDATL,25661
2024-01-01 08:00:00,1/1/2024 4:45:00 AM,12/31/2023 11:45:00 PM,1/1/2024 3:00:00 AM,MIDATL,25845
2024-01-01 09:00:00,12/31/2023 10:45:00 AM,12/31/2023 5:45:00 AM,1/1/2024 4:00:00 AM,MIDATL,25896
2024-01-01 09:00:00,12/31/2023 2:45:00 PM,12/31/2023 9:45:00 AM,1/1/2024 4:00:00 AM,MIDATL,25917
2024-01-01 09:00:00,12/31/2023 4:45:00 PM,12/31/2023 11:45:00 AM,1/1/2024 4:00:00 AM,MIDATL,25865
