date,hour,forecast_load_mw
2024-01-01,0,27032
2024-01-01,1,26262
2024-01-01,2,25874
2024-01-01,3,25731
2024-01-01,4,25827
2024-01-01,5,26384
2024-01-01,6,27248
2024-01-01,7,28041
2024-01-01,8,28474
2024-01-01,9,28672
2024-01-01,10,28614
2024-01-01,11,28664
2024-01-01,12,28720
2024-01-01,13,28760
2024-01-01,14,29048
2024-01-01,15,29776
2024-01-01,16,31498
2024-01-01,17,33204
2024-01-01,18,33212
2024-01-01,19,32943
2024-01-01,20,32674
2024-01-01,21,31846
2024-01-01,22,30435
2024-01-01,23,28914
2024-01-02,0,28288
2024-01-02,1,27812
2024-01-02,2,27617
2024-01-02,3,27777
2024-01-02,4,28373
2024-01-02,5,30225
2024-01-02,6,32783
2024-01-02,7,34597
2024-01-02,8,34428
2024-01-02,9,33258
2024-01-02,10,32232
2024-01-02,11,31426
2024-01-02,12,30967
2024-01-02,13,30724
2024-01-02,14,30902
2024-01-02,15,31659
2024-01-02,16,33412
2024-01-02,17,35866
2024-01-02,18,36254
2024-01-02,19,36008
2024-01-02,20,35511
2024-01-02,21,34520
2024-01-02,22,32750
2024-01-02,23,31090
2024-01-03,0,29236
2024-01-03,1,28692
2024-01-03,2,28420
2024-01-03,3,28556
2024-01-03,4,29451
2024-01-03,5,31125
2024-01-03,6,34006
2024-01-03,7,35578
2024-01-03,8,35169
2024-01-03,9,33801
2024-01-03,10,32645
2024-01-03,11,31813
2024-01-03,12,31390
2024-01-03,13,31266
2024-01-03,14,31410
2024-01-03,15,32121
2024-01-03,16,33550
2024-01-03,17,35815
2024-01-03,18,36132
2024-01-03,19,35776
2024-01-03,20,35116
2024-01-03,21,33973
2024-01-03,22,32084
2024-01-03,23,30371
2024-01-04,0,29457
2024-01-04,1,28685
2024-01-04,2,28352
2024-01-04,3,28465
2024-01-04,4,29152
2024-01-04,5,31165
2024-01-04,6,33920
2024-01-04,7,35684
2024-01-04,8,35332
2024-01-04,9,34304
2024-01-04,10,33436
2024-01-04,11,32805
2024-01-04,12,32373
2024-01-04,13,32226
2024-01-04,14,32415
2024-01-04,15,33314
2024-01-04,16,34979
2024-01-04,17,37246
2024-01-04,18,37665
2024-01-04,19,37516
2024-01-04,20,37189
2024-01-04,21,36277
2024-01-04,22,34586
2024-01-04,23,32890
2024-01-05,0,31549
2024-01-05,1,30897
2024-01-05,2,30795
2024-01-05,3,30970
2024-01-05,4,31716
2024-01-05,5,33474
2024-01-05,6,36063
2024-01-05,7,37602
2024-01-05,8,37207
2024-01-05,9,35871
2024-01-05,10,34511
2024-01-05,11,33554
2024-01-05,12,32886
2024-01-05,13,32625
2024-01-05,14,32812
2024-01-05,15,33578
2024-01-05,16,35322
2024-01-05,17,37190
2024-01-05,18,37328
2024-01-05,19,36967
2024-01-05,20,36493
2024-01-05,21,35714
2024-01-05,22,34337
2024-01-05,23,32873
2024-01-06,0,31394
2024-01-06,1,30498
2024-01-06,2,30027
2024-01-06,3,29866
2024-01-06,4,30104
2024-01-06,5,30839
2024-01-06,6,31852
2024-01-06,7,32988
2024-01-06,8,33917
2024-01-06,9,34348
2024-01-06,10,34408
2024-01-06,11,34301
2024-01-06,12,34170
2024-01-06,13,34028
2024-01-06,14,33970
2024-01-06,15,34199
2024-01-06,16,35238
2024-01-06,17,36357
2024-01-06,18,36081
2024-01-06,19,35428
2024-01-06,20,34590
2024-01-06,21,33556
2024-01-06,22,32110
2024-01-06,23,30397
2024-01-07,0,28764
2024-01-07,1,27892
2024-01-07,2,27371
2024-01-07,3,27142
2024-01-07,4,27292
2024-01-07,5,27876
2024-01-07,6,28845
2024-01-07,7,29811
2024-01-07,8,30601
2024-01-07,9,31007
2024-01-07,10,30970
2024-01-07,11,30875
2024-01-07,12,30699
2024-01-07,13,30468
2024-01-07,14,30527
2024-01-07,15,31281
2024-01-07,16,33177
2024-01-07,17,35011
2024-01-07,18,35347
