datetime,temperature_C,humidity_%,total_power_load_MW
2024-08-01 00:00:00,22.9,87.38,2421894
2024-08-01 01:00:00,22.9,84.0,2322910
2024-08-01 02:00:00,22.8,84.02,2415240
2024-08-01 03:00:00,23.8,79.11,2236486
2024-08-01 04:00:00,23.8,79.12,1056416
2024-08-01 05:00:00,23.3,84.82,996114
2024-08-01 06:00:00,23.8,82.32,949042
2024-08-01 07:00:00,23.8,82.32,919748
2024-08-01 08:00:00,23.8,84.86,1091492
2024-08-01 09:00:00,25.0,79.2,1112106
2024-08-01 10:00:00,25.7,76.21,1160024
2024-08-01 11:00:00,27.2,69.57,1223220
2024-08-01 12:00:00,28.8,65.3,1512456
2024-08-01 13:00:00,30.0,57.31,1605442
2024-08-01 14:00:00,30.6,55.24,1951608
2024-08-01 15:00:00,31.1,49.54,2066904
2024-08-01 16:00:00,32.2,46.7,2172162
2024-08-01 17:00:00,32.2,48.63,2261776
2024-08-01 18:00:00,32.2,46.69,2320934
2024-08-01 19:00:00,31.1,51.59,2356894
2024-08-01 20:00:00,30.6,55.25,2679958
2024-08-01 21:00:00,28.3,65.05,2681616
2024-08-01 22:00:00,25.0,81.83,2639740
2024-08-01 23:00:00,25.0,81.86,2558930
2024-08-02 00:00:00,25.0,79.2,2454904
2024-08-02 01:00:00,26.1,71.8,2354856
2024-08-02 02:00:00,24.4,82.35,2454052
2024-08-02 03:00:00,25.0,79.21,2277220
2024-08-02 04:00:00,26.1,74.03,1059326
2024-08-02 05:00:00,25.6,76.23,1001230
2024-08-02 06:00:00,25.0,76.81,957592
2024-08-02 07:00:00,25.0,76.81,929316
2024-08-02 08:00:00,24.3,76.78,1108456
2024-08-02 09:00:00,24.3,76.77,1127262
2024-08-02 10:00:00,25.0,70.89,1166944
2024-08-02 11:00:00,26.1,68.98,1225930
2024-08-02 12:00:00,27.2,64.87,1518288
2024-08-02 13:00:00,28.3,60.62,1603600
2024-08-02 14:00:00,27.9,62.39,1939290
2024-08-02 15:00:00,29.4,59.5,2043964
2024-08-02 16:00:00,30.6,55.23,2134198
2024-08-02 17:00:00,30.0,55.1,2202682
2024-08-02 18:00:00,29.3,57.22,2248760
2024-08-02 19:00:00,28.3,63.07,2269588
2024-08-02 20:00:00,25.0,84.36,2561670
2024-08-02 21:00:00,24.3,87.76,2539988
2024-08-02 22:00:00,24.3,87.81,2478084
2024-08-02 23:00:00,23.3,87.48,2387158
2024-08-03 00:00:00,22.8,93.2,2289036
2024-08-03 01:00:00,22.8,93.21,2197954
2024-08-03 02:00:00,22.8,93.22,2296768
2024-08-03 03:00:00,22.2,93.82,2138868
2024-08-03 04:00:00,21.7,96.72,1014202
2024-08-03 05:00:00,22.2,93.82,957314
2024-08-03 06:00:00,22.2,96.99,914656
2024-08-03 07:00:00,22.2,96.99,884896
2024-08-03 08:00:00,22.5,95.43,1039810
2024-08-03 09:00:00,22.9,94.78,1034600
2024-08-03 10:00:00,23.8,87.76,1035210
2024-08-03 11:00:00,25.0,79.23,1070882
2024-08-03 12:00:00,23.9,84.84,1333482
2024-08-03 13:00:00,25.0,84.38,1432012
2024-08-03 14:00:00,27.2,69.63,1749488
2024-08-03 15:00:00,22.2,93.76,1856724
2024-08-03 16:00:00,22.8,93.21,1947318
2024-08-03 17:00:00,22.9,96.02,2014286
2024-08-03 18:00:00,23.8,87.73,2059022
2024-08-03 19:00:00,22.4,86.53,2084354
2024-08-03 20:00:00,21.7,90.15,2362206
2024-08-03 21:00:00,21.7,93.79,2352472
2024-08-03 22:00:00,21.7,90.16,2304328
2024-08-03 23:00:00,21.1,96.96,2225896
2024-08-04 00:00:00,21.1,93.19,2136262
2024-08-04 01:00:00,20.7,96.1,2052992
2024-08-04 02:00:00,20.0,96.01,2152856
2024-08-04 03:00:00,20.0,99.99,2010550
2024-08-04 04:00:00,20.0,99.99,945446
2024-08-04 05:00:00,20.6,92.29,893212
2024-08-04 06:00:00,20.0,96.02,854458
2024-08-04 07:00:00,20.0,99.99,826456
2024-08-04 08:00:00,20.6,96.1,973012
2024-08-04 09:00:00,21.1,96.97,964104
2024-08-04 10:00:00,21.2,96.96,958960
2024-08-04 11:00:00,22.9,87.41,983508
2024-08-04 12:00:00,24.4,76.72,1223024
2024-08-04 13:00:00,26.7,65.68,1311398
2024-08-04 14:00:00,27.2,62.24,1602654
2024-08-04 15:00:00,29.3,50.0,1707806
2024-08-04 16:00:00,30.0,43.25,1802790
2024-08-04 17:00:00,30.6,43.14,1889772
2024-08-04 18:00:00,29.4,47.97,1957634
2024-08-04 19:00:00,29.3,47.98,2009902
2024-08-04 20:00:00,28.3,50.86,2309372
2024-08-04 21:00:00,26.1,57.89,2337934
2024-08-04 22:00:00,22.2,81.36,2314664
2024-08-04 23:00:00,20.7,92.24,2253900
2024-08-05 00:00:00,20.6,89.43,2169552
2024-08-05 01:00:00,21.1,86.74,2087932
2024-08-05 02:00:00,18.8,93.91,2187104
2024-08-05 03:00:00,18.8,93.92,2037170
2024-08-05 04:00:00,17.8,95.95,970430
2024-08-05 05:00:00,18.3,90.09,916628
2024-08-05 06:00:00,18.3,90.1,881076
2024-08-05 07:00:00,18.3,92.99,861220
2024-08-05 08:00:00,20.6,84.03,1032104
